Codigo;Nombre;Categoria;Proveedor;Precio;Descripcion
PLUT0005;Granola x kg;Panaderia Mayorista VEGANA;Plutarco;14000.00; (Selecciona la cantidad de Kilogramos que desees) (avena, semillas de girasol, nuez, maní, pasas de uva, coco rallado, esencia natural de vainilla, azúcar mascabo, aceite de girasol
PLUT0006;Pan de arroz yamani;Panaderia Mayorista VEGANA;Plutarco;4300.00;arroz yamaní 100% integral, fécula de maiz, fécula de mandioca, levadura, aceite de oliva orgánico, sal marina y una pizca de azúcar rubia orgánica
PLUT0009;Pan de centeno (SOLO LUNES);Panaderia Mayorista VEGANA;Plutarco;3900.00;harina 100% de cento, levadura, aceite de oliva orgánico, sal marina y una pizca de azucar rubia orgánica
PLUT0008;Pan de oliva y sal marina;Panaderia Mayorista VEGANA;Plutarco;3900.00;harina de trigo100% integral orgánica, levadura, masa madre, aceite de oliva orgánico, sal marina y una pizca de azúcar rubia orgánica
PLUT0010;Pan de Sarraceno;Panaderia Mayorista VEGANA;Plutarco;5250.00;100% masa madre de harina de Sarraceno, aceite de oliva orgánico, psyllium, sal marina y una pizca de azúcar rubia orgánica
PLUT0061;1/2 Pan de Sarraceno;Panaderia Mayorista VEGANA;Plutarco;2625.00;100% masa madre de harina de Sarraceno, aceite de oliva orgánico, psyllium, sal marina y una pizca de azúcar rubia orgánica
PLUT0007;Pan integral con Semillas;Panaderia Mayorista VEGANA;Plutarco;3800.00;harina de trigo 100% integral orgánica, semillas de lino, girasol y sésamo, levadura, masa madre, aceite de oliva orgánico, sal marina y una pizca de azúcar rubia orgánica
PLUT0062;Pan integral SIN SAL;Panaderia Mayorista VEGANA;Plutarco;3800.00;harina de trigo 100% integral orgánica, semillas de lino, girasol y sésamo, levadura, masa madre, aceite de oliva orgánico, sal marina y una pizca de azúcar rubia orgánica
PLUT0060;Pan Vollkorn;Panaderia Mayorista VEGANA;Plutarco;4300.00;100% masa madre de grano entero de centeno y harina de centeno, aceite de oliva orgánico, sal marina y una pizca de azúcar rubia orgánica
PLUT0013;Pepas de membrillo 200 gr;Panaderia Mayorista VEGANA;Plutarco;2300.00;Envasadas en potes trasparentes. Harina de trigo 100% integral, polvo de hornear, azúcar rubia orgánica, azucar mascabo agroecológica, dulce de membrillo agroecológico, ralladura de limón, aceite de girasol y una pizca de sal marina
PLUT0050;Pepitos con chips 200 gr;Panaderia Mayorista VEGANA;2300.00;Envasadas en potes transparentes. Harina de trigo 100% integral, nuez, semillas de girasol, polvo de hornear, azúcar rubia orgánica, azucar mascabo agroecológica, chips de chocolate semiamargo, ralladura de limón,aceite de girasol y una pizca de sal marina). IMPORTANTE: el chocolate puede tener trazas de leche.
PLUT0015;Pre-pizza de arroz;Panaderia Mayorista VEGANA;Plutarco;2300.00;arroz yamaní 100% integral, fécula de maiz, fécula de mandioca, levadura, aceite de oliva orgánico, sal marina y una pizca de azúcar rubia orgánica
PLUT0014;Pre-pizza integral;Panaderia Mayorista VEGANA;Plutarco;1800.00;harina de trigo100% integral orgánica, semillas de lino, girasol y sésamo, levadura, masa madre, aceite de oliva orgánico, sal marina y una pizca de azúcar rubia orgánica
PLUT0016;Torta Galesa;Panaderia Mayorista VEGANA;Plutarco;6600.00;Envuelta en papel film. Harina de trigo 100% integral orgánica, cacao en polvo, especias, nuez, semilla de girasol, maní, ciruelas deshidratadas, vino, lino, azúcar rubia orgánica, azúcar mascabo agroecológica, polvo de hornear, aceite de girasol y una pizca de sal
